[2025-10-28 23:17:22] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:24] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:24] ALERT: DNS Query | 192.168.2.14:61934 -> 192.168.2.1:53 | Protocol: UDP | Priority: 5
[2025-10-28 23:17:24] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:24] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:24] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:24] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:24] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:24] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:24] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:28] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:28] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:28] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:29] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:32] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:32] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:32] ALERT: DNS Query | 192.168.2.14:56415 -> 192.168.2.1:53 | Protocol: UDP | Priority: 5
[2025-10-28 23:17:32] ALERT: DNS Query | 192.168.2.14:51277 -> 192.168.2.1:53 | Protocol: UDP | Priority: 5
[2025-10-28 23:17:32] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:32] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:34] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:34] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:39] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:39] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:48] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:48] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:48] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:48] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:51] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:51] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:51] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:51] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:53] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:53] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:53] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:54] ALERT: DNS Query | 192.168.2.14:61768 -> 192.168.2.1:53 | Protocol: UDP | Priority: 5
[2025-10-28 23:17:54] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:17:54] ALERT: HTTP Traffic | 192.168.2.14:54415 -> 199.232.214.172:80 | Protocol: TCP | Priority: 5
[2025-10-28 23:18:02] ALERT: HTTP Traffic | 192.168.2.14:54415 -> 199.232.214.172:80 | Protocol: TCP | Priority: 5
[2025-10-28 23:18:02] ALERT: HTTP Traffic | 192.168.2.14:54415 -> 199.232.214.172:80 | Protocol: TCP | Priority: 5
[2025-10-28 23:18:03] ALERT: HTTP Traffic | 192.168.2.14:54415 -> 199.232.214.172:80 | Protocol: TCP | Priority: 5
[2025-10-28 23:18:04] ALERT: HTTP Traffic | 192.168.2.14:54415 -> 199.232.214.172:80 | Protocol: TCP | Priority: 5
[2025-10-28 23:18:08] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:08] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
